date,OT,dgs1mo,dbaa,t5yifr
2020-08-12,11012.24023,0.08,3.24,1.78
2020-08-13,11042.5,0.08,3.3,1.78
2020-08-14,11019.29981,0.09,3.32,1.77
2020-08-17,11129.73047,0.09,3.33,1.78
2020-08-18,11210.83984,0.08,3.31,1.81
2020-08-19,11146.45996,0.07,3.33,1.79
2020-08-20,11264.9502,0.08,3.3,1.76
2020-08-21,11311.79981,0.07,3.28,1.76
2020-08-24,11379.71973,0.09,3.28,1.77
2020-08-25,11466.46973,0.08,3.32,1.8
2020-08-26,11665.05957,0.08,3.35,1.81
2020-08-27,11625.33984,0.09,3.45,1.81
2020-08-28,11695.62988,0.09,3.45,1.86
2020-08-31,11775.45996,0.08,3.39,1.91
2020-09-01,11939.66992,0.09,3.35,1.87
2020-09-02,12056.44043,0.1,3.3,1.85
2020-09-03,11458.09961,0.1,3.27,1.77
2020-09-04,11313.12988,0.09,3.4,1.83
2020-09-08,10847.69043,0.1,3.36,1.81
2020-09-09,11141.55957,0.1,3.4,1.85
2020-09-10,10919.58984,0.1,3.37,1.84
2020-09-11,10853.54981,0.1,3.36,1.77
2020-09-14,11056.65039,0.1,3.34,1.76
2020-09-15,11190.32031,0.09,3.36,1.8
2020-09-16,11050.46973,0.08,3.36,1.79
2020-09-17,10910.28027,0.09,3.34,1.75
2020-09-18,10793.28027,0.09,3.36,1.76
2020-09-21,10778.79981,0.09,3.34,1.74
2020-09-22,10963.63965,0.08,3.34,1.74
2020-09-23,10632.99023,0.08,3.36,1.72
2020-09-24,10672.26953,0.08,3.37,1.71
2020-09-25,10913.55957,0.08,3.4,1.73
2020-09-28,11117.53027,0.09,3.43,1.74
2020-09-29,11085.25,0.07,3.4,1.79
2020-09-30,11167.50977,0.08,3.44,1.76
2020-10-01,11326.50977,0.09,3.43,1.78
2020-10-02,11075.01953,0.1,3.46,1.8
2020-10-05,11332.49023,0.09,3.52,1.84
2020-10-06,11154.59961,0.08,3.46,1.81
2020-10-07,11364.59961,0.08,3.5,1.88
2020-10-08,11420.98047,0.09,3.46,1.88
2020-10-09,11579.94043,0.1,3.46,1.9
2020-10-13,11863.90039,0.09,3.39,1.88
2020-10-14,11768.73047,0.1,3.37,1.86
2020-10-15,11713.87012,0.1,3.39,1.86
2020-10-16,11671.55957,0.09,3.4,1.89
2020-10-19,11478.87988,0.09,3.39,1.89
2020-10-20,11516.49023,0.08,3.45,1.91
2020-10-21,11484.69043,0.08,3.46,1.92
2020-10-22,11506.00977,0.09,3.48,1.84
2020-10-23,11548.28027,0.08,3.45,1.84
2020-10-26,11358.94043,0.08,3.41,1.81
2020-10-27,11431.34961,0.08,3.39,1.78
2020-10-28,11004.87012,0.07,3.41,1.79
2020-10-29,11185.58984,0.08,3.46,1.81
2020-10-30,10911.58984,0.08,3.49,1.81
2020-11-02,10957.61035,0.09,3.47,1.82
2020-11-03,11160.57031,0.09,3.48,1.82
2020-11-04,11590.78027,0.08,3.36,1.72
2020-11-05,11890.92969,0.09,3.31,1.77
2020-11-06,11895.23047,0.1,3.34,1.76
2020-11-09,11713.78027,0.1,3.43,1.83
2020-11-10,11553.86035,0.09,3.42,1.83
2020-11-12,11709.58984,0.1,3.33,1.79
2020-11-13,11829.29004,0.1,3.33,1.8
2020-11-16,11924.12988,0.09,3.33,1.8
2020-11-17,11899.33984,0.08,3.29,1.77
2020-11-18,11801.59961,0.07,3.27,1.77
2020-11-19,11904.70996,0.08,3.21,1.78
2020-11-20,11854.96973,0.09,3.18,1.77
2020-11-23,11880.62988,0.08,3.19,1.8
