date,OT,closeshort
2020-11-09,11713.78027,47.0
2020-11-10,11553.86035,38.0
2020-11-12,11709.58984,46.0
2020-11-13,11829.29004,45.0
2020-11-16,11924.12988,48.0
2020-11-17,11899.33984,45.0
2020-11-18,11801.59961,44.0
2020-11-19,11904.70996,48.0
2020-11-20,11854.96973,45.0
2020-11-23,11880.62988,45.0
2020-11-24,12036.79004,48.0
2020-11-25,12094.40039,51.0
2020-11-27,12205.84961,55.0
2020-11-30,12198.74023,59.0
2020-12-01,12355.11035,66.0
2020-12-02,12349.37012,59.0
2020-12-03,12377.17969,62.0
2020-12-04,12464.23047,61.0
2020-12-07,12519.9502,61.0
2020-12-08,12582.76953,62.0
2020-12-09,12338.9502,50.0
2020-12-10,12405.80957,50.0
2020-12-11,12377.87012,51.0
2020-12-14,12440.04004,56.0
2020-12-15,12595.05957,58.0
2020-12-16,12658.19043,62.0
2020-12-17,12764.75,62.0
2020-12-18,12755.63965,59.0
2020-12-21,12742.51953,59.0
2020-12-22,12807.91992,60.0
2020-12-23,12771.11035,55.0
2020-12-24,12804.73047,57.0
2020-12-28,12899.41992,62.0
2020-12-29,12850.21973,63.0
2020-12-30,12870.0,59.0
2020-12-31,12888.28027,61.0
2021-01-04,12698.4502,49.0
2021-01-05,12818.95996,54.0
2021-01-06,12740.79004,48.0
2021-01-07,13067.48047,60.0
2021-01-08,13201.98047,64.0
2021-01-11,13036.42969,55.0
2021-01-12,13072.42969,49.0
2021-01-13,13128.9502,53.0
2021-01-14,13112.63965,47.0
2021-01-15,12998.5,45.0
2021-01-19,13197.17969,55.0
2021-01-20,13457.25,66.0
2021-01-21,13530.91016,67.0
2021-01-22,13543.05957,66.0
2021-01-25,13635.99023,65.0
2021-01-26,13626.05957,65.0
2021-01-27,13270.59961,44.0
2021-01-28,13337.16016,47.0
2021-01-29,13070.69043,40.0
2021-02-01,13403.38965,52.0
2021-02-02,13612.78027,60.0
2021-02-03,13610.54004,54.0
2021-02-04,13777.74023,56.0
2021-02-05,13856.29981,61.0
2021-02-08,13987.63965,59.0
2021-02-09,14007.7002,59.0
2021-02-10,13972.53027,60.0
2021-02-11,14025.76953,59.0
2021-02-12,14095.46973,64.0
2021-02-16,14047.5,59.0
2021-02-17,13965.49023,51.0
2021-02-18,13865.36035,49.0
2021-02-19,13874.45996,49.0
2021-02-22,13533.04981,32.0
2021-02-23,13465.2002,31.0
2021-02-24,13597.96973,34.0
2021-02-25,13119.42969,28.0
2021-02-26,13192.34961,33.0
2021-03-01,13588.83008,40.0
2021-03-02,13358.79004,37.0
2021-03-03,12997.75,30.0
2021-03-04,12723.46973,31.0
2021-03-05,12920.15039,31.0
2021-03-08,12609.16016,27.0
2021-03-09,13073.82031,39.0
2021-03-10,13068.83008,32.0
2021-03-11,13398.66992,39.0
2021-03-12,13319.86035,32.0
2021-03-15,13459.70996,37.0
2021-03-16,13471.57031,38.0
2021-03-17,13525.2002,36.0
2021-03-18,13116.16992,28.0
2021-03-19,13215.24023,31.0
2021-03-22,13377.54004,40.0
2021-03-23,13227.7002,38.0
2021-03-24,12961.88965,31.0
2021-03-25,12977.67969,30.0
2021-03-26,13138.73047,33.0
2021-03-29,13059.65039,35.0
2021-03-30,13045.38965,33.0
2021-03-31,13246.87012,42.0
2021-04-01,13480.11035,46.0
2021-04-05,13705.58984,48.0
2021-04-06,13698.37988,47.0
2021-04-07,13688.83984,47.0
2021-04-08,13829.30957,50.0
2021-04-09,13900.19043,53.0
2021-04-12,13850.0,54.0
2021-04-13,13996.09961,58.0
2021-04-14,13857.83984,50.0
2021-04-15,14038.75977,54.0
2021-04-16,14052.33984,54.0
2021-04-19,13914.76953,49.0
2021-04-20,13786.26953,48.0
2021-04-21,13950.21973,49.0
2021-04-22,13818.41016,46.0
2021-04-23,14016.80957,53.0
2021-04-26,14138.78027,57.0
2021-04-27,14090.21973,50.0
2021-04-28,14051.03027,51.0
2021-04-29,14082.54981,50.0
2021-04-30,13962.67969,47.0
2021-05-03,13895.12012,42.0
2021-05-04,13633.5,34.0
2021-05-05,13582.41992,35.0
2021-05-06,13632.83984,35.0
2021-05-07,13752.24023,40.0
2021-05-10,13401.86035,31.0
2021-05-11,13389.42969,35.0
2021-05-12,13031.67969,26.0
2021-05-13,13124.99023,28.0
2021-05-14,13429.98047,37.0
2021-05-17,13379.04981,35.0
2021-05-18,13303.63965,32.0
2021-05-19,13299.74023,34.0
2021-05-20,13535.74023,43.0
2021-05-21,13470.99023,37.0
2021-05-24,13661.16992,43.0
2021-05-25,13657.16992,44.0
2021-05-26,13738.0,44.0
2021-05-27,13736.28027,41.0
2021-05-28,13748.74023,42.0
2021-06-01,13736.48047,41.0
2021-06-02,13756.33008,40.0
2021-06-03,13614.50977,37.0
2021-06-04,13814.49023,51.0
2021-06-07,13881.71973,48.0
2021-06-08,13924.91016,47.0
2021-06-09,13911.75,47.0
2021-06-10,14020.33008,58.0
2021-06-11,14069.41992,56.0
2021-06-14,14174.13965,60.0
2021-06-15,14072.86035,55.0
2021-06-16,14039.67969,55.0
2021-06-17,14161.34961,65.0
2021-06-18,14030.37988,61.0
2021-06-21,14141.48047,67.0
2021-06-22,14253.26953,72.0
2021-06-23,14271.73047,71.0
2021-06-24,14369.70996,71.0
2021-06-25,14360.38965,69.0
2021-06-28,14500.50977,72.0
2021-06-29,14528.33008,72.0
2021-06-30,14503.9502,70.0
2021-07-01,14522.37988,68.0
2021-07-02,14639.33008,71.0
2021-07-06,14663.63965,73.0
2021-07-07,14665.05957,68.0
2021-07-08,14559.78027,69.0
2021-07-09,14701.91992,69.0
2021-07-12,14733.24023,68.0
2021-07-13,14677.65039,69.0
